Date,FIPS,MMWR_week,Recip_County,Recip_State,Series_Complete_Pop_Pct,Series_Complete_Yes,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Completeness_pct,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,SVI_CTGY,Series_Complete_Pop_Pct_SVI,Series_Complete_12PlusPop_Pct_SVI,Series_Complete_18PlusPop_Pct_SVI,Series_Complete_65PlusPop_Pct_SVI,Metro_status,Series_Complete_Pop_Pct_UR_Equity,Series_Complete_12PlusPop_Pct_UR_Equity,Series_Complete_18PlusPop_Pct_UR_Equity,Series_Complete_65PlusPop_Pct_UR_Equity
11/08/2021,36047,45,Kings County,NY,60.5,1548873,1548729,71.9,1453464,73.4,262425,71.3,97.6,1751673,68.4,1751239,81.3,1640701,82.9,291688,79.3,D,16,16,16,16,Metro,4,4,4,4
11/08/2021,36085,45,Richmond County,NY,63.8,303600,303568,74.2,283546,76.1,66300,83.6,97.6,336159,70.6,336111,82.2,313206,84.1,72269,91.1,B,8,8,8,8,Metro,4,4,4,4
11/08/2021,36061,45,New York County,NY,74.5,1212589,1212467,82.8,1156612,82.8,224704,81.4,97.6,1408084,86.5,1407611,96.1,1334159,95.5,257005,93.1,C,12,12,12,12,Metro,4,4,4,4
11/08/2021,36005,45,Bronx County,NY,61.9,877822,877743,74.3,808024,75.5,150627,79.8,97.6,1006912,71,1006733,85.2,924020,86.4,166656,88.3,D,16,16,16,16,Metro,4,4,4,4
11/08/2021,36081,45,Queens County,NY,74.6,1680917,1680833,86.5,1567496,87,298965,81.2,97.6,1886874,83.7,1886677,97.1,1758375,97.6,335699,91.1,C,12,12,12,12,Metro,4,4,4,4
11/07/2021,36081,45,Queens County,NY,74.5,1679707,1679624,86.4,1566429,86.9,298877,81.1,97.6,1885277,83.6,1885086,97.0,1756926,97.5,335398,91.1,C,12,12,12,12,Metro,4,4,4,4
11/07/2021,36047,45,Kings County,NY,60.5,1547698,1547554,71.9,1452447,73.4,262342,71.3,97.6,1750358,68.4,1749976,81.3,1639559,82.8,291561,79.3,D,16,16,16,16,Metro,4,4,4,4
11/07/2021,36061,45,New York County,NY,74.4,1211980,1211859,82.8,1156049,82.8,224639,81.4,97.6,1406778,86.4,1406319,96.0,1332907,95.5,256779,93,C,12,12,12,12,Metro,4,4,4,4
11/07/2021,36085,45,Richmond County,NY,63.7,303421,303389,74.2,283398,76.1,66285,83.6,97.6,335978,70.6,335932,82.1,313045,84,72227,91.1,B,8,8,8,8,Metro,4,4,4,4
11/07/2021,36005,45,Bronx County,NY,61.9,877245,877166,74.3,807522,75.5,150590,79.8,97.6,1006215,70.9,1006046,85.2,923404,86.3,166545,88.2,D,16,16,16,16,Metro,4,4,4,4
11/06/2021,36085,44,Richmond County,NY,63.6,302919,302887,74.1,282942,76,66237,83.5,97.6,335501,70.5,335457,82.0,312639,83.9,72159,91,B,8,8,8,8,Metro,4,4,4,4
11/06/2021,36061,44,New York County,NY,74.3,1210606,1210487,82.7,1154835,82.7,224509,81.3,97.6,1403894,86.2,1403487,95.8,1330256,95.3,256391,92.9,C,12,12,12,12,Metro,4,4,4,4
